,Symbol,Count,Max Close value,Min Close value,Oldest Date,Recent Date
0,CIT,1169,5480.0,1792.1,2020-06-29,2025-06-11
1,SHINE,1169,625.0,210.0,2020-06-29,2025-06-11
2,FMDBL,1168,1315.6,396.0,2020-06-29,2025-06-11
3,SHL,1166,624.1,144.0,2020-06-29,2025-06-11
4,SHPC,1165,678.3,200.0,2020-06-29,2025-06-05
5,AKPL,1165,830.5,111.0,2020-06-29,2025-06-05
6,ALICL,1165,1535.0,430.0,2020-06-29,2025-06-05
7,EBL,1165,838.0,413.0,2020-06-29,2025-06-05
8,LICN,1165,2762.0,902.33,2020-06-29,2025-06-05
9,MERO,1164,1895.0,466.0,2020-06-29,2025-06-05
10,SWBBL,1164,2152.0,679.9,2020-06-29,2025-06-04
11,SANIMA,1164,562.9,223.0,2020-06-29,2025-06-04
12,NHPC,1164,498.0,49.0,2020-06-29,2025-06-04
13,NIL,1164,1829.0,462.0,2020-06-29,2025-06-05
14,SPDL,1164,765.0,95.0,2020-06-29,2025-06-05
15,API,1164,640.0,105.0,2020-06-29,2025-06-04
16,NLG,1164,1375.0,442.0,2020-06-29,2025-06-04
17,NLIC,1164,2908.0,569.1,2020-06-29,2025-06-05
18,ALBSL,1164,2070.0,537.0,2020-06-29,2025-06-04
19,GBBL,1164,720.0,196.0,2020-06-29,2025-06-04
20,HDL,1164,7624.0,1142.0,2020-06-29,2025-06-05
21,SJCL,1164,520.0,127.0,2020-06-29,2025-06-04
22,MBL,1164,442.9,159.5,2020-06-29,2025-06-04
23,MNBBL,1163,834.0,275.0,2020-06-29,2025-06-04
24,EDBL,1163,1170.0,271.0,2020-06-30,2025-06-05
25,DDBL,1163,2319.0,618.7,2020-06-29,2025-06-04
26,GFCL,1163,1330.0,140.0,2020-06-29,2025-06-04
27,OHL,1163,1189.9,266.0,2020-06-30,2025-06-05
28,JSLBB,1163,5395.0,797.2,2020-06-29,2025-06-04
29,NGPL,1163,1344.0,105.0,2020-06-29,2025-06-04
30,MDB,1163,836.0,301.0,2020-06-29,2025-06-04
31,SBL,1163,594.8,215.0,2020-06-29,2025-06-04
32,BPCL,1163,679.0,288.2,2020-06-30,2025-06-04
33,PFL,1162,866.0,143.0,2020-06-29,2025-06-04
34,SADBL,1162,575.0,137.0,2020-06-29,2025-06-04
35,JFL,1162,1072.3,154.0,2020-06-29,2025-06-05
36,SAPDBL,1162,1595.0,105.0,2020-06-29,2025-06-05
37,GUFL,1162,1443.0,105.0,2020-06-29,2025-06-04
38,MLBBL,1162,2500.0,595.0,2020-06-30,2025-06-11
39,PCBL,1161,529.0,177.5,2020-06-29,2025-05-28
40,SCB,1161,764.0,383.1,2020-06-29,2025-05-28
41,NICA,1161,1073.0,337.51,2020-06-29,2025-05-28
42,GBLBS,1161,1386.0,378.0,2020-06-29,2025-05-28
43,AHPC,1161,775.0,92.0,2020-06-29,2025-05-28
44,CBBL,1161,1985.1,751.5,2020-06-29,2025-05-28
